input,output
-10.0,0.5440211108817542
-9.9,0.45753589375834247
-9.8,0.3664791292151802
-9.700000000000001,0.2717606263335658
-9.600000000000001,0.17432678122575132
-9.500000000000002,0.0751511204677429
-9.400000000000002,-0.024775425461983146
-9.300000000000002,-0.12445442351113922
-9.200000000000003,-0.22288991410212486
-9.100000000000003,-0.31909836229566874
-9.000000000000004,-0.41211848521659866
-8.900000000000004,-0.5010208564464254
-8.800000000000004,-0.5849171928866992
-8.700000000000005,-0.6629692300800175
-8.600000000000005,-0.7343970979436624
-8.500000000000005,-0.7984871126535965
-8.400000000000006,-0.8545989081008167
-8.300000000000006,-0.9021718337612956
-8.200000000000006,-0.9407305566816767
-8.100000000000007,-0.9698898107737938
-8.000000000000007,-0.9893582465961226
-7.9000000000000075,-0.9989413418299351
-7.800000000000008,-0.9985433453712799
-7.700000000000008,-0.9881682338759576
-7.6000000000000085,-0.9679196720786523
-7.500000000000009,-0.9379999767891799
-7.400000000000009,-0.8987080958156233
-7.30000000000001,-0.850436620629548
-7.20000000000001,-0.7936678637974411
-7.10000000000001,-0.7289690401143502
-7.000000000000011,-0.6569865987166841
-6.900000000000011,-0.5784397643879091
-6.800000000000011,-0.49411335115618893
-6.700000000000012,-0.4048499206182601
-6.600000000000012,-0.3115413634248602
-6.500000000000012,-0.21511998808491148
-6.400000000000013,-0.11654920490938646
-6.300000000000013,-0.016813900473162183
-6.2000000000000135,0.0830894028229512
-6.100000000000014,0.18216250427144176
-6.000000000000014,0.27941549816666
-5.900000000000015,0.37387666483087717
-5.800000000000015,0.46460217942212767
-5.700000000000015,0.5506855426639641
-5.600000000000016,0.6312666378711772
-5.500000000000016,0.7055403255637016
-5.400000000000016,0.7727644875241508
-5.300000000000017,0.8322674422244827
-5.200000000000017,0.8834546557226696
-5.100000000000017,0.9258146823372111
-5.000000000000018,0.9589242746951384
-4.900000000000018,0.9824526127228794
-4.8000000000000185,0.9961646088335667
-4.700000000000019,0.9999232575572177
-4.600000000000019,0.9936910036139869
-4.5000000000000195,0.9775301176131919
-4.40000000000002,0.9516020738908841
-4.30000000000002,0.9161659367531004
-4.200000000000021,0.8715757724228508
-4.100000000000021,0.8182771110869503
-4.000000000000021,0.7568024953606433
-3.9000000000000212,0.6877661591823782
-3.800000000000021,0.6118578909389202
-3.700000000000021,0.5298361408997774
-3.600000000000021,0.4425204432754992
-3.500000000000021,0.3507832276479119
-3.400000000000021,0.2555411019393762
-3.3000000000000207,0.1577456941464224
-3.2000000000000206,0.058374143434324774
-3.1000000000000205,-0.04158066244088881
-3.0000000000000204,-0.14112000806343494
-2.9000000000000203,-0.2392493292156092
-2.8000000000000203,-0.33498815010853966
-2.70000000000002,-0.42737988021172846
-2.60000000000002,-0.5155013718114398
-2.50000000000002,-0.5984721440995445
-2.40000000000002,-0.6754631805492688
-2.30000000000002,-0.7457052122372811
-2.2000000000000197,-0.8084964038456371
-2.1000000000000196,-0.863209366659642
-2.0000000000000195,-0.909297426829943
-1.9000000000000195,-0.9463000876890205
-1.8000000000000194,-0.9738476308173126
-1.7000000000000193,-0.9916648104294038
-1.6000000000000192,-0.9995736030332683
-1.500000000000019,-0.997494986601304
-1.400000000000019,-0.985449729987611
-1.300000000000019,-0.9635581854560986
-1.2000000000000188,-0.9320390859789531
-1.1000000000000187,-0.8912073600646242
-1.0000000000000187,-0.8414709848086686
-0.9000000000000187,-0.7833269095868323
-0.8000000000000187,-0.7173560908907339
-0.7000000000000187,-0.6442176872361531
-0.6000000000000187,-0.5646424734857302
-0.5000000000000188,-0.4794255386164323
-0.4000000000000188,-0.3894183423097176
-0.3000000000000188,-0.2955202066071605
-0.2000000000000188,-0.19866933079366925
-0.1000000000000188,-0.09983341666668576
